"Provincies";"Misdrijven totaal|2005";"Misdrijven totaal|2006";"Misdrijven totaal|2007";"Misdrijven totaal|2008";"Misdrijven totaal|2009";"Misdrijven totaal|2010";"Misdrijven totaal|2011";"Misdrijven totaal|2012";"Misdrijven totaal|2013";"Misdrijven totaal|2014";"Misdrijven totaal|2015";"Misdrijven totaal|2016"
"Groningen (Pr)";40605;41085;40320;39810;41020;38320;37195;35885;34460;30725;30100;29485
"Friesland";33705;32410;33725;33300;31375;31795;31945;29905;28760;27620;26595;24545
"Drenthe";27760;27955;27700;26735;28375;26085;26090;25175;23105;21475;20090;18615
"Overijssel";71905;68000;66095;65705;65535;63770;64620;63285;61000;54065;50625;48475
"Flevoland";27665;28315;29220;28560;25500;25765;26120;25850;25995;23335;21545;20795
"Gelderland";142065;137640;134975;129815;131245;127595;125520;119765;112980;102215;95265;92630
"Utrecht (Pr)";110785;109490;104420;102140;95960;90445;86310;82135;79445;75820;74200;71870
"Noord-Holland";248085;245155;240985;232410;231375;235515;236915;225740;222525;207615;202695;189510
"Zuid-Holland";304855;293025;296820;298430;289885;275410;285850;269480;254780;237750;224935;218270
"Zeeland";22665;22180;23470;23685;23750;22170;22555;20930;19120;17175;16845;15515
"Noord-Brabant";204190;195765;196015;190245;191360;176065;174355;172345;164455;152125;145595;135060
"Limburg";97380;93370;92965;90995;90195;85510;87020;82715;77580;74295;68995;62895
