"Gemeenten";"Misdrijven totaal|2005";"Misdrijven totaal|2006";"Misdrijven totaal|2007";"Misdrijven totaal|2008";"Misdrijven totaal|2009";"Misdrijven totaal|2010";"Misdrijven totaal|2011";"Misdrijven totaal|2012";"Misdrijven totaal|2013";"Misdrijven totaal|2014";"Misdrijven totaal|2015";"Misdrijven totaal|2016"
"Aa en Hunze";810;890;850;895;800;805;945;940;785;680;645;615
"Aalburg";500;450;490;445;440;470;490;500;435;425;385;335
"Aalsmeer";1440;1405;1485;1410;1355;1405;1480;1220;1280;1210;1105;1195
"Aalten";945;1075;1085;1085;910;905;775;700;685;685;615;635
"Achtkarspelen";990;970;975;980;840;935;950;805;725;770;735;760
"Alblasserdam";1205;1090;1170;1070;955;790;885;855;775;765;840;730
"Albrandswaard";1040;1175;1105;1155;1240;1035;1205;1185;1185;1050;1120;1025
"Alkmaar";11565;10350;10485;10135;10815;10040;9920;8995;8505;8225;7525;6945
"Almelo";6155;5425;5340;5160;5390;5005;4895;5240;5305;4495;4120;3985
"Almere";14895;15240;16105;15680;13465;13930;14590;14495;15255;13385;11915;11340
"Alphen aan den Rijn";6915;6900;6595;6250;6200;6140;6410;5980;5300;4790;4485;4230
"Alphen-Chaam";440;370;470;385;430;415;470;575;560;430;435;325
"Ameland";205;175;215;200;245;220;165;190;150;145;135;140
"Amersfoort";14485;13965;13030;13570;11705;11155;10495;10740;10655;9385;8930;8485
"Amstelveen";4980;4950;5150;5300;5360;5270;5135;5105;5115;4230;4365;4280
"Amsterdam";105595;104960;102100;99965;96820;100125;103375;101505;101650;96475;96125;91700
"Apeldoorn";15085;14170;13320;11735;12110;11680;12225;11745;10830;10165;8920;8300
"Appingedam";685;650;650;625;610;600;665;535;510;500;445;475
"Arnhem";17550;17210;17480;17040;17275;16765;16640;15215;14390;13910;12620;12700
"Assen";5490;5755;5720;5600;5780;5350;4945;5000;4745;4130;3845;3750
"Asten";1105;1045;1015;910;1000;850;950;920;875;900;860;765
"Baarle-Nassau";355;335;455;375;390;290;340;370;335;335;315;230
"Baarn";2145;1885;1660;1810;1575;1560;1645;1530;1345;1280;1245;1280
"Barendrecht";2545;2595;2565;2830;3485;2355;2550;2365;2070;1975;1960;2080
"Barneveld";3100;3045;2795;2725;2605;2610;2715;2485;2460;2215;2175;2075
"Bedum";390;370;380;410;375;330;370;300;230;265;260;200
"Beek";1320;1235;1435;1450;1270;1285;1410;1255;1195;1060;1090;1030
"Beemster";400;410;405;360;395;375;375;440;360;265;255;280
"Beesel";715;695;785;680;670;690;645;680;590;475;435;445
"Bellingwedde";290;305;285;280;340;330;300;275;265;225;220;205
